Dataset_ID,Batch,Role,Question,Answer,Validator_1,Validator_2,Validator_3,Final_Label,Validation_Agreement
IQ-0001,1,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Average,Average,Majority
IQ-0002,1,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Average,Average,Majority
IQ-0003,1,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Strong,Average,Strong,Strong,Majority
IQ-0004,1,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0005,1,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Strong,Strong,Majority
IQ-0006,1,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Strong,Strong,Strong,Strong,Unanimous
IQ-0007,1,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0008,1,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0009,1,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Strong,Strong,Average,Strong,Majority
IQ-0010,1,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0011,1,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Strong,Strong,Unanimous
IQ-0012,1,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Strong,Strong,Strong,Strong,Unanimous
IQ-0013,1,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0014,1,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Strong,Strong,Unanimous
IQ-0015,1,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Strong,Strong,Strong,Strong,Unanimous
IQ-0016,1,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0017,1,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Strong,Strong,Unanimous
IQ-0018,1,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Strong,Strong,Strong,Strong,Unanimous
IQ-0019,1,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0020,1,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Strong,Strong,Unanimous
IQ-0021,2,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0022,2,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Average,Strong,Majority
IQ-0023,2,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Strong,Strong,Average,Strong,Majority
IQ-0024,2,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Average,Average,Majority
IQ-0025,2,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Average,Average,Majority
IQ-0026,2,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Strong,Average,Average,Average,Majority
IQ-0027,2,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0028,2,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Average,Average,Majority
IQ-0029,2,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Strong,Average,Average,Average,Majority
IQ-0030,2,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0031,2,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Average,Average,Majority
IQ-0032,2,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Strong,Average,Average,Average,Majority
IQ-0033,2,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Average,Average,Majority
IQ-0034,2,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Average,Average,Average,Majority
IQ-0035,2,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Strong,Strong,Average,Strong,Majority
IQ-0036,2,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0037,2,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Average,Strong,Majority
IQ-0038,2,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Strong,Average,Average,Average,Majority
IQ-0039,2,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Average,Average,Majority
IQ-0040,2,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Average,Strong,Majority
IQ-0041,3,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0042,3,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0043,3,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Strong,Weak,Strong,Strong,Majority
IQ-0044,3,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0045,3,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0046,3,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Strong,Weak,Strong,Strong,Majority
IQ-0047,3,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0048,3,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0049,3,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0050,3,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0051,3,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0052,3,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0053,3,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0054,3,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0055,3,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0056,3,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0057,3,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0058,3,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0059,3,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0060,3,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0061,4,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Strong,Strong,Majority
IQ-0062,4,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0063,4,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Strong,Weak,Strong,Strong,Majority
IQ-0064,4,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Strong,Strong,Majority
IQ-0065,4,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0066,4,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0067,4,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Strong,Strong,Majority
IQ-0068,4,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0069,4,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Strong,Weak,Strong,Strong,Majority
IQ-0070,4,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0071,4,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0072,4,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0073,4,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Strong,Strong,Majority
IQ-0074,4,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0075,4,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Strong,Weak,Strong,Strong,Majority
IQ-0076,4,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0077,4,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Weak,Average,Average,Majority
IQ-0078,4,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Average,Weak,Average,Average,Majority
IQ-0079,4,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0080,4,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Strong,Strong,Majority
IQ-0081,5,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0082,5,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Strong,Strong,Unanimous
IQ-0083,5,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Strong,Strong,Strong,Strong,Unanimous
IQ-0084,5,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Average,Average,Majority
IQ-0085,5,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0086,5,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Strong,Strong,Weak,Strong,Majority
IQ-0087,5,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Average,Strong,Majority
IQ-0088,5,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0089,5,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Strong,Average,Strong,Strong,Majority
IQ-0090,5,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Average,Average,Average,Majority
IQ-0091,5,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Weak,Weak,Weak,Majority
IQ-0092,5,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Strong,Average,Strong,Strong,Majority
IQ-0093,5,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Strong,Strong,Strong,Strong,Unanimous
IQ-0094,5,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Average,Average,Average,Unanimous
IQ-0095,5,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Average,Average,Weak,Average,Majority
IQ-0096,5,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0097,5,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0098,5,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Average,Average,Average,Average,Unanimous
IQ-0099,5,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Strong,Strong,Majority
IQ-0100,5,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Strong,Strong,Average,Strong,Majority
IQ-0101,6,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Strong,Strong,Majority
IQ-0102,6,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Average,Strong,Average,Majority
IQ-0103,6,Software Developer,"For a Software Developer interview, how would you explain authentication and authorization?","I have heard of authentication and authorization, but I cannot explain it clearly right now.",Average,Strong,Average,Average,Majority
IQ-0104,6,Software Developer,"For a Software Developer interview, how would you explain Git version control?","I would explain Git version control clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Average,Average,Majority
IQ-0105,6,Software Developer,"For a Software Developer interview, how would you explain unit testing?","I know unit testing is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0106,6,Software Developer,"For a Software Developer interview, how would you explain debugging production errors?","I have heard of debugging production errors, but I cannot explain it clearly right now.",Average,Strong,Strong,Strong,Majority
IQ-0107,6,Software Developer,"For a Software Developer interview, how would you explain REST APIs?","I would explain REST APIs clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Strong,Strong,Majority
IQ-0108,6,Software Developer,"For a Software Developer interview, how would you explain dependency injection?","I know dependency injection is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Average,Average,Average,Unanimous
IQ-0109,6,Software Developer,"For a Software Developer interview, how would you explain code review?","I have heard of code review, but I cannot explain it clearly right now.",Average,Strong,Average,Average,Majority
IQ-0110,6,Software Developer,"For a Software Developer interview, how would you explain software design patterns?","I would explain software design patterns clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Average,Average,Unanimous
IQ-0111,6,Data Analyst,"For a Data Analyst interview, how would you explain data cleaning?","I know data cleaning is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0112,6,Data Analyst,"For a Data Analyst interview, how would you explain SQL JOINs?","I have heard of SQL JOINs, but I cannot explain it clearly right now.",Average,Strong,Strong,Strong,Majority
IQ-0113,6,Data Analyst,"For a Data Analyst interview, how would you explain primary keys?","I would explain primary keys clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Strong,Strong,Majority
IQ-0114,6,Data Analyst,"For a Data Analyst interview, how would you explain KPIs?","I know KPIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Average,Average,Majority
IQ-0115,6,Data Analyst,"For a Data Analyst interview, how would you explain dashboards?","I have heard of dashboards, but I cannot explain it clearly right now.",Average,Strong,Average,Average,Majority
IQ-0116,6,Data Analyst,"For a Data Analyst interview, how would you explain correlation versus causation?","I would explain correlation versus causation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Strong,Strong,Strong,Majority
IQ-0117,6,Data Analyst,"For a Data Analyst interview, how would you explain data warehouses?","I know data warehouses is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0118,6,Data Analyst,"For a Data Analyst interview, how would you explain outlier detection?","I have heard of outlier detection, but I cannot explain it clearly right now.",Average,Average,Average,Average,Unanimous
IQ-0119,6,Data Analyst,"For a Data Analyst interview, how would you explain data validation?","I would explain data validation clearly, connect it to a real Data Analyst task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Strong,Average,Majority
IQ-0120,6,Data Analyst,"For a Data Analyst interview, how would you explain business reporting?","I know business reporting is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Average,Strong,Strong,Strong,Majority
IQ-0121,7,Software Developer,"For a Software Developer interview, how would you explain object-oriented programming?","I would explain object-oriented programming clearly, connect it to a real Software Developer task, give an appropriate example, and mention why it improves quality or decisions.",Average,Average,Strong,Average,Majority
IQ-0122,7,Software Developer,"For a Software Developer interview, how would you explain APIs?","I know APIs is important in this role. It helps with the work, but I would need to check some details before explaining it fully.",Weak,Average,Strong,Weak,Majority
